Solvent_SMILES,Solute_SMILES
OCCO,CCCCCCCCCC
OCCO,CCCCCCCCCC
OCCO,CCCCCCCCCC
OCCO,CCCCCCCCCC
OCCO,CCCCCCCCCCCCc1ccccc1
OCCO,CCCCCCCCCCCCc1ccccc1
OCCO,CCCCCCCCCCCCc1ccccc1
OCCO,CCCCCCCCCCCCc1ccccc1
OCCO,CCCCCCCCCCCCc1ccccc1
OCCO,CCCCCCCCCCCC
OCCO,CCCCCCCCCCCC
OCCO,CCCCCCCCCCCC
OCCO,CCCl
OCCO,CCCl
OCCO,CCCl
OCCO,CCO
OCCO,CCO
OCCO,CCO
OCCO,CCO
OCCO,CCO
OCCO,CCO
OCCO,CCO
OCCO,CCO
OCCO,CCO
OCCO,CCO
OCCO,CCCCCCC
OCCO,CCCCCCC
OCCO,CCCCCCC
OCCO,CCCCCCC
OCCO,CCCCCCC
OCCO,CCCCCCC
OCCO,CCCCCCC
OCCO,CCCCCCC
OCCO,CCCCCCC
OCCO,CCCCCCC
OCCO,CCCCCCC
OCCO,CCCCCCC
OCCO,CCCCCCC
OCCO,CCCCCCC
OCCO,CCCCCCC
OCCO,CCCCCCC
OCCO,CCCCCCC
OCCO,CCCCCCCCCCCCCCCC
OCCO,CCCCCCCCCCCCCCCC
OCCO,CCCCCC
OCCO,CCCCCC
OCCO,CCCCCC
OCCO,CCCCCC
OCCO,CCCCCC
OCCO,CCCCCC
OCCO,CCCCCC
OCCO,CCCCCC
OCCO,CCCCCC
OCCO,CCCCCC
OCCO,CCCCCC
OCCO,CCCCCC
OCCO,CCCCCC
OCCO,C[N+](=O)[O-]
OCCO,CO
OCCO,CO
OCCO,CO
OCCO,CO
OCCO,CO
OCCO,CO
OCCO,CO
OCCO,CCCCCCc1cccc2ccccc12
OCCO,CCCCCCc1cccc2ccccc12
OCCO,CCCCCCc1cccc2ccccc12
OCCO,CCCCCCc1cccc2ccccc12
OCCO,Cc1cccc2ccccc12
OCCO,Cc1cccc2ccccc12
OCCO,Cc1cccc2ccccc12
OCCO,c1ccc2ccccc2c1
OCCO,c1ccc2ccccc2c1
OCCO,c1ccc2ccccc2c1
OCCO,c1ccc2ccccc2c1
OCCO,c1ccc2ccccc2c1
OCCO,CCCCCCCCC
OCCO,CCCCCCCCC
OCCO,CCCCCCCCC
OCCO,CCCCCCCCC
OCCO,CCCCCCCCC
OCCO,CCCCCCCCC
OCCO,CCCCCCCCC
OCCO,CCCCCCCCC
OCCO,CCCCCCCCC
OCCO,CCCCCCCC
OCCO,CCCCCCCC
OCCO,CCCCCCCC
OCCO,CCCCCCCC
OCCO,CCCCCCCC
OCCO,CCCCCCCC
OCCO,CCCCCCCC
OCCO,CCCCCCCC
OCCO,CCCCCCCC
OCCO,CCCCCCCC
OCCO,CCCCCCCC
OCCO,CCCCCCCC
OCCO,CCCCCCCC
OCCO,CC(C)CC(C)(C)C
OCCO,CCCCC
OCCO,CCCCC
OCCO,CCCCC
OCCO,CCCCC
OCCO,c1ccc2c(c1)ccc1ccccc12
OCCO,c1ccc2c(c1)ccc1ccccc12
OCCO,c1ccc2c(c1)ccc1ccccc12
OCCO,Oc1ccccc1
OCCO,CCCCl
OCCO,CCCCl
OCCO,CCCCl
OCCO,CCCCl
OCCO,C=CCCl
OCCO,C=CCCl
OCCO,C=CCCl
OCCO,C=CCCl
OCCO,CCCCCCCCCCCCCC
OCCO,CCCCCCCCCCCCCC
OCCO,c1ccc2c(c1)CCCC2
OCCO,Cc1ccccc1
OCCO,Cc1ccccc1
OCCO,Cc1ccccc1
OCCO,Cc1ccccc1
OCCO,Cc1ccccc1
OCCO,Cc1ccccc1
OCCO,Cc1ccccc1
OCCO,Cc1ccccc1
OCCO,Cc1ccccc1
OCCO,CCCCCCCCCCCCC
OCCO,CCCCCCCCCCCCC
OCCO,CCCCCCCCCCCCC
OCCO,CCCCCCCCCCC
OCCO,CCCCCCCCCCC
OCCO,CCCCCCCCCCC
OCCO,O
OCCO,O
OCCO,O
OCCO,O
OCC(O)COCC(O)CO,CCCCO
OCC(O)COCC(O)CO,CCCCO
OCC(O)COCC(O)CO,CCCCCCO
OCC(O)COCC(O)CO,CCCCCO
OCC(O)COCC(O)CO,CCCCCO
OCC(O)COCC(O)CO,CCCO
OCC(O)COCC(O)CO,CCCO
OCC(O)COCC(O)CO,CCCC[N+](=O)[O-]
OCC(O)COCC(O)CO,CCO
OCC(O)COCC(O)CO,CCO
OCC(O)COCC(O)CO,CCC1CCCO1
OCC(O)COCC(O)CO,CCC1CCCO1
OCC(O)COCC(O)CO,CCC1CCCO1
OCC(O)COCC(O)CO,CCc1ccco1
OCC(O)COCC(O)CO,CCc1ccco1
OCC(O)COCC(O)CO,CC1CCCO1
OCC(O)COCC(O)CO,CC1CCCO1
OCC(O)COCC(O)CO,CC1CCCO1
OCC(O)COCC(O)CO,CC1CCCO1
OCC(O)COCC(O)CO,Cc1ccco1
OCC(O)COCC(O)CO,Cc1ccco1
OCC(O)COCC(O)CO,Cc1ccco1
OCC(O)COCC(O)CO,CCCc1ccco1
