ID,Type,Compound_1,Compound_2,Compound_3,T_K,P_kPa,x_1,x_2,y_1,y_2
3,Isobaric,Benzene,Heptane,Dimethylformamide,372.3,101.325,0.125,0.137,0.288,0.57
3,Isobaric,Benzene,Heptane,Dimethylformamide,372.4,101.325,0.118,0.132,0.264,0.596
3,Isobaric,Benzene,Heptane,Dimethylformamide,372.5,101.325,0.116,0.129,0.268,0.569
3,Isobaric,Benzene,Heptane,Dimethylformamide,372.75,101.325,0.289,0.06,0.593,0.287
3,Isobaric,Benzene,Heptane,Dimethylformamide,373.2,101.325,0.135,0.112,0.304,0.538
3,Isobaric,Benzene,Heptane,Dimethylformamide,375.8,101.325,0.114,0.096,0.269,0.517
3,Isobaric,Benzene,Heptane,Dimethylformamide,375.85,101.325,0.152,0.078,0.357,0.473
3,Isobaric,Benzene,Heptane,Dimethylformamide,376.05,101.325,0.132,0.09,0.302,0.513
3,Isobaric,Benzene,Heptane,Dimethylformamide,376.25,101.325,0.088,0.102,0.225,0.572
3,Isobaric,Benzene,Heptane,Dimethylformamide,376.85,101.325,0.216,0.055,0.502,0.343
3,Isobaric,Benzene,Heptane,Dimethylformamide,377.1,101.325,0.095,0.085,0.242,0.558
3,Isobaric,Benzene,Heptane,Dimethylformamide,377.15,101.325,0.1,0.095,0.242,0.573
3,Isobaric,Benzene,Heptane,Dimethylformamide,377.2,101.325,0.139,0.071,0.343,0.486
3,Isobaric,Benzene,Heptane,Dimethylformamide,377.25,101.325,0.102,0.088,0.257,0.538
3,Isobaric,Benzene,Heptane,Dimethylformamide,377.3,101.325,0.205,0.059,0.44,0.379
3,Isobaric,Benzene,Heptane,Dimethylformamide,377.55,101.325,0.089,0.084,0.233,0.537
3,Isobaric,Benzene,Heptane,Dimethylformamide,377.6,101.325,0.101,0.085,0.256,0.539
3,Isobaric,Benzene,Heptane,Dimethylformamide,377.75,101.325,0.244,0.035,0.627,0.21
3,Isobaric,Benzene,Heptane,Dimethylformamide,377.75,101.325,0.093,0.083,0.24,0.542
3,Isobaric,Benzene,Heptane,Dimethylformamide,377.9,101.325,0.091,0.089,0.236,0.523
3,Isobaric,Benzene,Heptane,Dimethylformamide,378.45,101.325,0.082,0.079,0.221,0.528
3,Isobaric,Benzene,Heptane,Dimethylformamide,378.6,101.325,0.086,0.085,0.22,0.565
3,Isobaric,Benzene,Heptane,Dimethylformamide,378.75,101.325,0.084,0.087,0.219,0.548
3,Isobaric,Benzene,Heptane,Dimethylformamide,379.6,101.325,0.084,0.071,0.239,0.496
3,Isobaric,Benzene,Heptane,Dimethylformamide,379.75,101.325,0.116,0.082,0.279,0.492
3,Isobaric,Benzene,Heptane,Dimethylformamide,380.2,101.325,0.088,0.066,0.247,0.531
3,Isobaric,Benzene,Heptane,Dimethylformamide,382.1,101.325,0.121,0.065,0.324,0.41
3,Isobaric,Benzene,Heptane,Dimethylformamide,382.15,101.325,0.126,0.062,0.34,0.436
3,Isobaric,Benzene,Heptane,Dimethylformamide,382.45,101.325,0.133,0.056,0.366,0.423
3,Isobaric,Benzene,Heptane,Dimethylformamide,383.35,101.325,0.077,0.062,0.238,0.499
3,Isobaric,Benzene,Heptane,Dimethylformamide,384.55,101.325,0.085,0.058,0.257,0.482
3,Isobaric,Benzene,Heptane,Dimethylformamide,385.9,101.325,0.079,0.051,0.262,0.483
3,Isobaric,Benzene,Heptane,Dimethylformamide,386.1,101.325,0.162,0.032,0.496,0.265
3,Isobaric,Benzene,Heptane,Dimethylformamide,386.35,101.325,0.155,0.043,0.461,0.301
3,Isobaric,Benzene,Heptane,Dimethylformamide,387.35,101.325,0.078,0.046,0.277,0.452
3,Isobaric,Benzene,Heptane,Dimethylformamide,387.95,101.325,0.182,0.023,0.57,0.18
3,Isobaric,Benzene,Heptane,Dimethylformamide,389.2,101.325,0.089,0.041,0.313,0.403
