Binary_class,MAE_GH_GNN_Margules,R2_GH_GNN_Margules,n_points,MAE_UNIFAC_Do,R2_UNIFAC_Do
Aldehydes_Amides,0.02415284077296502,0.9891207564123452,63,0.005457679024135614,0.9995401587695592
Nitriles_Other Nitrogen Derivatives,0.00934439379619012,0.9980898605098691,33,0.005690972712794921,0.9994345088456453
Aldehydes_Naphtenic Hydrocarbons,0.006485531406312366,0.9989445808972945,18,0.0058647752846666045,0.9994659016511312
Aromatics_Ketones,0.015921602887536822,0.9907687300539704,296,0.006265209989809221,0.9985756748091116
Halogenated Derivatives_Nitriles,0.013275526487747578,0.9957802006764264,137,0.00658018015899129,0.9986982576796811
Paraffinic Hydrocarbons_Paraffinic Hydrocarbons,0.01946746744742669,0.9782345387348975,759,0.00696663223567654,0.9963328892580955
Amines_Unsaturated Hydrocarbons,0.013727975165424528,0.9937005961692662,43,0.007022696898877732,0.9981281932067554
Alcohols_Amides,0.013131477550416455,0.9979316349340772,105,0.007081281475663167,0.9992076331162005
Halogenated Derivatives_Other Nitrogen Derivatives,0.014189306163653487,0.9943722948686634,60,0.007298476507708854,0.9979064204419034
Amides_Inorganics,0.009612869621560277,0.9983484092659954,14,0.0073661831259446,0.9989848573918515
Alcohols_Nitriles,0.021847977834758902,0.9878880979924065,73,0.007473933331851417,0.9984129111680132
Esters_Unsaturated Hydrocarbons,0.01917004073740148,0.9912998320636305,139,0.007650391658490831,0.99882701205844
Aldehydes_Paraffinic Hydrocarbons,0.010065232674586602,0.9968799533612945,114,0.007682928935411168,0.9979858050906842
Naphtenic Hydrocarbons_Naphtenic Hydrocarbons,0.013019395960634858,0.9969749163951621,30,0.0077168789484618585,0.9987364906220466
Esters_Naphtenic Hydrocarbons,0.018799715081490025,0.9915267222003408,110,0.00778419672348931,0.9976067294305341
Aromatics_Esters,0.014678778014568792,0.993222434617571,268,0.007949316401964383,0.9971675430076858
Aldehydes_Ketones,0.03363382824789351,0.9751958727221656,60,0.008537684383222353,0.9985799917977172
Ketones_Other Nitrogen Derivatives,0.015644293083821398,0.9947137511722647,29,0.008775410384558691,0.9980393790066652
Esters_Esters,0.022136698289860295,0.9891104440463424,100,0.00885303948260295,0.9981012962241059
Ketones_Ketones,0.010469440711145105,0.9975043367739892,48,0.009073222356296727,0.9983027607176305
Other Nitrogen Derivatives_Other Nitrogen Derivatives,0.01754734936805932,0.9916226457153604,28,0.009599055449907908,0.9978893640104122
Amides_Esters,0.008844393788093468,0.9990181229423829,60,0.009792683147031961,0.9985031726393007
Halogenated Derivatives_Ketones,0.015451573720107262,0.9940225314149169,259,0.009910254902738815,0.9970531347337764
Ethers_Unsaturated Hydrocarbons,0.021480818570903802,0.986590108418934,112,0.01007659260085386,0.9972239154682666
Aromatics_Halogenated Derivatives,0.012306676710294054,0.9953705779588489,915,0.010188240352531975,0.995813314304396
Esters_Nitriles,0.014846648681421954,0.9955390473693954,97,0.010217467991358578,0.9977047728978202
Unsaturated Hydrocarbons_Unsaturated Hydrocarbons,0.01869740930838994,0.9914511406464641,12,0.010496603078183791,0.9955151329638181
Aromatics_Paraffinic Hydrocarbons,0.012405595121043188,0.9900669959010024,1037,0.011212426747898211,0.9908272037135315
Aldehydes_Halogenated Derivatives,0.01629901819309616,0.9921190211572835,124,0.011683090213869715,0.9953445343547687
Ethers_Paraffinic Hydrocarbons,0.014677044096774812,0.9897285151117314,319,0.011688380798328752,0.9921471612494329
Halogenated Derivatives_Halogenated Derivatives,0.011630825814270924,0.9952803583504547,495,0.011702823989915019,0.9960743109236823
Amines_Ethers,0.012971593266044041,0.9965360694663014,113,0.011939131429573684,0.996331697347702
Ketones_Unsaturated Hydrocarbons,0.03362774109975483,0.9891804948407661,4,0.012788096569842478,0.9985389069728201
Esters_Other Nitrogen Derivatives,0.008331052416231895,0.9937674756742796,18,0.01329259026878978,0.9801441478172139
Halogenated Derivatives_Unsaturated Hydrocarbons,0.04992641875422519,0.938832520803778,171,0.013445265317004384,0.9950647769797389
Esters_Halogenated Derivatives,0.019183122270172426,0.9901924844114111,415,0.01359480630053935,0.9944352061327673
Ethers_Ketones,0.013164642399376841,0.9950727355247792,156,0.013644756549040009,0.9961811589456392
Aromatics_Unsaturated Hydrocarbons,0.022839970982156448,0.983191668116116,84,0.013807039779762387,0.9934656564921734
Alcohols_Inorganics,0.034143649632647155,0.9527399550720955,955,0.013971869817502296,0.9869108138351078
Alcohols_Aromatics,0.02514842783722912,0.9853740889947304,1468,0.014488481537679511,0.9922076942025888
Inorganics_Nitriles,0.023032416542639773,0.9726822713490948,21,0.014524914045978084,0.9873903750732959
Halogenated Derivatives_Sulfur Derivatives,0.009287272605388397,0.9973860318722327,35,0.014601065534266062,0.9887089129479929
