ID,Type,Compound_1,Compound_2,Compound_3,T_K,P_kPa,x_1,x_2,y_1,y_2,SMILES_1,SMILES_2,SMILES_3,Coefficient A_1,Coefficient B_1,Coefficient C_1,Coefficient D_1,"T range, from_1","T range, to_1",P_vap_1,gamma_1,Coefficient A_2,Coefficient B_2,Coefficient C_2,Coefficient D_2,"T range, from_2","T range, to_2",P_vap_2,gamma_2,Coefficient A_3,Coefficient B_3,Coefficient C_3,Coefficient D_3,"T range, from_3","T range, to_3",P_vap_3,gamma_3,x_3,y_3,inchikey_1,inchikey_2,inchikey_3
1,Isobaric,Acetone,Chloroform,Methanol,331.04,101.325,0.316,0.218,0.321,0.215,CC(=O)C,C(Cl)(Cl)Cl,CO,-7.858812,-5784.592,66.96925,7.104956e-06,178.45,508.2,107.2497227838114,0.9597063843079917,-10.07089,-6351.14,81.14393,9.127608e-06,209.63,536.4,92.30266701487476,1.0826406484002356,-9.372816,-7029.198,79.09415,7.992729e-06,175.47,512.58,77.71519290450878,1.2982034140908825,0.46599999999999997,0.4640000000000001,CSCPPACGZOOCGX-UHFFFAOYSA-N,HEDRZPFGACZZDS-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N
1,Isobaric,Acetone,Chloroform,Methanol,331.09,101.325,0.318,0.21,0.328,0.216,CC(=O)C,C(Cl)(Cl)Cl,CO,-7.858812,-5784.592,66.96925,7.104956e-06,178.45,508.2,107.43082517567848,0.972824332158044,-10.07089,-6351.14,81.14393,9.127608e-06,209.63,536.4,92.45772812027002,1.1272178336940044,-9.372816,-7029.198,79.09415,7.992729e-06,175.47,512.58,77.87511548511954,1.2570158468142898,0.472,0.45599999999999996,CSCPPACGZOOCGX-UHFFFAOYSA-N,HEDRZPFGACZZDS-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N
1,Isobaric,Acetone,Chloroform,Methanol,330.82,101.325,0.318,0.252,0.318,0.241,CC(=O)C,C(Cl)(Cl)Cl,CO,-7.858812,-5784.592,66.96925,7.104956e-06,178.45,508.2,106.45575516813204,0.9518038723220861,-10.07089,-6351.14,81.14393,9.127608e-06,209.63,536.4,91.62282826510625,1.0576194292207595,-9.372816,-7029.198,79.09415,7.992729e-06,175.47,512.58,77.01477144660632,1.3493130334843066,0.42999999999999994,0.44099999999999995,CSCPPACGZOOCGX-UHFFFAOYSA-N,HEDRZPFGACZZDS-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N
1,Isobaric,Acetone,Chloroform,Methanol,330.81,101.325,0.318,0.242,0.318,0.24,CC(=O)C,C(Cl)(Cl)Cl,CO,-7.858812,-5784.592,66.96925,7.104956e-06,178.45,508.2,106.41977715976768,0.9521256546880481,-10.07089,-6351.14,81.14393,9.127608e-06,209.63,536.4,91.59202043775554,1.0971218106720868,-9.372816,-7029.198,79.09415,7.992729e-06,175.47,512.58,76.98305917058875,1.3221813900155477,0.43999999999999995,0.44199999999999995,CSCPPACGZOOCGX-UHFFFAOYSA-N,HEDRZPFGACZZDS-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N
1,Isobaric,Acetone,Chloroform,Methanol,330.81,101.325,0.319,0.252,0.314,0.241,CC(=O)C,C(Cl)(Cl)Cl,CO,-7.858812,-5784.592,66.96925,7.104956e-06,178.45,508.2,106.41977715976768,0.9372020550847873,-10.07089,-6351.14,81.14393,9.127608e-06,209.63,536.4,91.59202043775554,1.0579751693455266,-9.372816,-7029.198,79.09415,7.992729e-06,175.47,512.58,76.98305917058875,1.3652876634340843,0.42900000000000005,0.44499999999999995,CSCPPACGZOOCGX-UHFFFAOYSA-N,HEDRZPFGACZZDS-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N
1,Isobaric,Acetone,Chloroform,Methanol,331.05,101.325,0.32,0.245,0.318,0.244,CC(=O)C,C(Cl)(Cl)Cl,CO,-7.858812,-5784.592,66.96925,7.104956e-06,178.45,508.2,107.28592382020585,0.9385361580028272,-10.07089,-6351.14,81.14393,9.127608e-06,209.63,536.4,92.33366284849211,1.0928996582428612,-9.372816,-7029.198,79.09415,7.992729e-06,175.47,512.58,77.74715557226048,1.312251134494874,0.43499999999999994,0.43799999999999994,CSCPPACGZOOCGX-UHFFFAOYSA-N,HEDRZPFGACZZDS-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N
1,Isobaric,Acetone,Chloroform,Methanol,331.06,101.325,0.332,0.246,0.327,0.246,CC(=O)C,C(Cl)(Cl)Cl,CO,-7.858812,-5784.592,66.96925,7.104956e-06,178.45,508.2,107.32213457573225,0.9299015667072278,-10.07089,-6351.14,81.14393,9.127608e-06,209.63,536.4,92.36466687433645,1.0970103983361326,-9.372816,-7029.198,79.09415,7.992729e-06,175.47,512.58,77.77912916130191,1.3181625235573589,0.42199999999999993,0.42700000000000005,CSCPPACGZOOCGX-UHFFFAOYSA-N,HEDRZPFGACZZDS-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N
1,Isobaric,Acetone,Chloroform,Methanol,331.1,101.325,0.335,0.228,0.337,0.219,CC(=O)C,C(Cl)(Cl)Cl,CO,-7.858812,-5784.592,66.96925,7.104956e-06,178.45,508.2,107.46707482630565,0.9484758521424281,-10.07089,-6351.14,81.14393,9.127608e-06,209.63,536.4,92.48876493006395,1.0522935301488963,-9.372816,-7029.198,79.09415,7.992729e-06,175.47,512.58,77.9071327882773,1.3214201477505676,0.43700000000000006,0.44400000000000006,CSCPPACGZOOCGX-UHFFFAOYSA-N,HEDRZPFGACZZDS-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N
1,Isobaric,Acetone,Chloroform,Methanol,331.15,101.325,0.336,0.247,0.328,0.247,CC(=O)C,C(Cl)(Cl)Cl,CO,-7.858812,-5784.592,66.96925,7.104956e-06,178.45,508.2,107.64846904286482,0.9188472523525976,-10.07089,-6351.14,81.14393,9.127608e-06,209.63,536.4,92.64407200538659,1.0937019261643495,-9.372816,-7029.198,79.09415,7.992729e-06,175.47,512.58,78.06738339859338,1.3228172944495926,0.4169999999999999,0.42499999999999993,CSCPPACGZOOCGX-UHFFFAOYSA-N,HEDRZPFGACZZDS-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N
1,Isobaric,Acetone,Chloroform,Methanol,331.15,101.325,0.338,0.244,0.331,0.235,CC(=O)C,C(Cl)(Cl)Cl,CO,-7.858812,-5784.592,66.96925,7.104956e-06,178.45,508.2,107.64846904286482,0.921764648737611,-10.07089,-6351.14,81.14393,9.127608e-06,209.63,536.4,92.64407200538659,1.0533604616746808,-9.372816,-7029.198,79.09415,7.992729e-06,175.47,512.58,78.06738339859338,1.3475982455102642,0.4179999999999999,0.43400000000000005,CSCPPACGZOOCGX-UHFFFAOYSA-N,HEDRZPFGACZZDS-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N
