Compound_1,Compound_2,N_points,p_res_avg,y_1_res_avg,y_2_res_avg,is_consistent
"1,2,3,4-TETRAHYDRONAPHTHALENE",QUINOLINE,9,0.006803540760099935,0.01518721890679086,0.008383678146690925,False
"1,2-DICHLOROETHANE",1-CHLOROBUTANE,22,0.0028122294639303922,0.006294191350129479,0.0076369432978797315,True
"1,2-DICHLOROETHANE",CARBON TETRACHLORIDE,22,0.0028098915984418786,0.00463059349663717,0.006646194461935095,True
"1,2-DICHLOROETHANE",CYCLOPENTANE,16,33138.684762288096,0.29664972556242863,33138.71696942015,False
"1,2-DICHLOROETHANE",N-HEPTANE,15,0.00994238595757094,0.02032125004696749,0.016643907477699813,False
"1,2-DIMETHOXYETHANE","2,4-DIMETHYLPENTANE",11,0.31512205028348617,0.26755561056773197,0.29256725034203496,False
"1,2-EPOXYBUTANE",1-CHLOROBUTANE,12,0.0021995252462316617,0.005637437303596267,0.003535743038058039,True
"1,2-EPOXYBUTANE",1-CHLOROBUTANE,12,0.0032112405675490314,0.007524988928673482,0.0045258263743791945,True
"1,2-EPOXYBUTANE",1-HEXENE,12,0.0016238146462794348,0.00459830968523072,0.004758042090344831,True
"1,2-EPOXYBUTANE",1-HEXENE,12,0.0018887293374787225,0.0062575923022488425,0.006627978077579867,True
"1,2-EPOXYBUTANE",1-OCTENE,13,0.01595420805772709,0.01848114927067625,0.002526941212949161,False
"1,2-EPOXYBUTANE",1-OCTENE,12,0.13393614747218743,0.15233487579300165,0.018712951295636566,False
"1,2-EPOXYBUTANE",2-CHLOROBUTANE,12,0.000807828660591523,0.0021691583935778756,0.0023704586242714433,True
"1,2-EPOXYBUTANE",2-CHLOROBUTANE,12,0.002043617413378022,0.005666980053023271,0.00465180420645614,True
"1,2-EPOXYBUTANE",N-HEPTANE,11,0.018947999803854462,0.02968408191938563,0.011368428084264887,False
"1,2-EPOXYBUTANE",N-HEPTANE,12,0.00857452245251714,0.011500130733923463,0.0031355609653119405,False
"1,2-EPOXYBUTANE",N-HEXANE,13,0.0013116619935683526,0.0034156678133470267,0.002950393756498523,True
"1,2-EPOXYBUTANE",N-HEXANE,13,0.0029901342636664005,0.00686954676988981,0.005281100919781196,True
"1,2-PROPYLENE GLYCOL",ETHYLENE GLYCOL,9,0.030069395845266564,0.06794711678760895,0.03787772094234241,False
"1,2-PROPYLENE GLYCOL",ETHYLENE GLYCOL,8,0.006439730167760494,0.01860862365894047,0.012186556330129645,False
"1,2-PROPYLENE GLYCOL",ETHYLENE GLYCOL,8,0.013466541719884815,0.03335281916638716,0.019886277446502353,False
"1,3,5-TRIMETHYLBENZENE",ISOPROPANOL,17,1.9841285458083826,0.010845086793852583,1.9942730094422936,False
"1,3,5-TRIMETHYLBENZENE",ISOPROPANOL,21,0.15356637050495806,0.009287859763078379,0.16257122965962326,False
"1,3,5-TRIMETHYLBENZENE",ISOPROPANOL,17,0.04491584950627757,0.005070595842381503,0.049667023018021,False
"1,3,5-TRIMETHYLBENZENE",ISOPROPANOL,16,0.09004300976426513,0.009824771728280553,0.09921780271231455,False
"1,3,5-TRIMETHYLBENZENE",N-PROPANOL,13,0.09246271904748236,0.007446417626287639,0.09990913667376998,False
"1,3,5-TRIMETHYLBENZENE",N-PROPANOL,17,0.21207400134874158,0.009449104564859576,0.22139681119574012,False
"1,3,5-TRIMETHYLBENZENE",N-PROPANOL,14,0.12870397467957953,0.009414275758623485,0.13788726739110652,False
"1,3,5-TRIMETHYLBENZENE",N-PROPANOL,15,0.054921645287376274,0.005267632975945008,0.05972376259551767,False
"1,3-BUTADIENE",CARBON DISULFIDE,7,0.06548653812991946,0.07299906708416429,0.007512528954244813,False
"1,3-BUTADIENE",CARBON TETRACHLORIDE,8,0.11156130104490788,0.1171415711571766,0.005580270112268719,False
"1,3-BUTADIENE",DICHLOROMETHANE,8,0.03911667842661428,0.047811041619821616,0.00869436319320735,False
"1,3-BUTADIENE",ETHYL ACETATE,7,0.11401669966671409,0.11882668557270135,0.004809985905987256,False
"1,3-BUTADIENE",N-BUTANE,9,0.0007996869298213016,0.005109926340960822,0.004320968539329711,True
"1,4-DIOXANE","1,1,1-TRICHLOROETHANE",10,0.4265670873478008,0.42758332203642124,0.0010181449870249363,False
"1,4-DIOXANE",ACETONITRILE,11,0.006710648901790162,0.0036521821738273526,0.010362831075617506,False
"1,4-DIOXANE",CARBON TETRACHLORIDE,10,0.2780654791990179,0.278240685580763,0.0001752063817450427,False
"1,4-DIOXANE",SULFOLANE,12,0.20156482061339875,0.20171514258157053,0.00015032196817167307,False
1-BROMOBUTANE,BENZENE,27,0.002580653685823369,0.0026690459804893014,0.005211819872016079,True
1-BROMOBUTANE,ETHYLBENZENE,25,0.003741599019728283,0.005422934120805823,0.0016813351010775404,True
1-BROMOBUTANE,TOLUENE,27,0.00041257421353769157,0.001218083710609,0.0008189625377229924,True
1-BUTENE,"1,3-BUTADIENE",9,0.00014821479048716523,0.0018679057168980039,0.0017471883631110842,True
1-BUTENE,N-BUTANE,9,0.0009400279834195066,0.005229233775191151,0.004335437463857623,True
"1-CHLORO-1,1-DIFLUOROETHANE","1,1,1-TRICHLOROETHANE",8,0.04180968423142955,0.04483438711084148,0.0030247028794119207,False
